feature,shap_cls,shap_reg,rank_cls,rank_reg
first_ldl_value,0.6493586,17.097305,1,1
has_statin,0.23163426,4.8718796,2,2
age_at_admission,0.1214621,1.942037,3,4
gender_M,0.11100405,2.7775033,4,3
drug_Atorvastatin,0.066608995,1.9008462,5,5
lab_last_Platelet_Count,0.06203451,1.2753841,6,6
lab_last_Hemoglobin,0.03153101,0.6278681,7,8
lab_last_INRPT,0.030532261,0.5534104,8,9
total_rx_count,0.024485193,0.38435096,9,12
lab_last_Creatinine,0.021270182,0.26153594,10,17
drug_Docusate_Sodium,0.020098409,0.2512024,11,18
lab_std_Glucose,0.017919002,0.3986606,12,11
lab_last_Hematocrit,0.01583191,0.12410553,13,27
lab_last_Troponin_T,0.015053341,0.29894045,14,15
lab_last_Potassium,0.014077871,0.08501634,15,32
drug_Aspirin,0.012520121,0.7729085,16,7
lab_last_Sodium,0.011926684,0.053855147,17,42
drug_Torsemide,0.011856622,0.045479573,18,46
lab_last_Glucose,0.011769866,0.29862684,19,16
drug_Influenza_Vaccine_Quadrivalent,0.0116528915,0.3053246,20,14
drug_Glucose_Gel,0.010982405,0.19397078,21,19
lab_std_INRPT,0.010527774,0.067171276,22,36
lab_std_Hemoglobin,0.009434052,0.115853414,23,28
los_hours,0.009162101,0.092210785,24,31
lab_std_Creatinine,0.008694585,0.31859136,25,13
n_unique_drugs,0.008515648,0.4020695,26,10
drug_Dextrose_50%,0.008227515,0.1642305,27,22
marital_WIDOWED,0.0077566793,0.07579946,28,35
lab_std_Sodium,0.006950493,0.026491303,29,53
lab_std_Potassium,0.006864636,0.15372136,30,24
ldl_real_count,0.006797753,0.050154883,31,44
insurance_Medicare,0.00661926,0.1606365,32,23
lab_last_White_Blood_Cells,0.006047038,0.17483187,33,21
drug_Glucagon,0.005491448,0.19167101,34,20
lab_std_Hematocrit,0.0049084364,0.06354646,35,37
lab_std_White_Blood_Cells,0.0048175748,0.049886007,36,45
drug_Sodium_Chloride_0.9%__Flush,0.004415577,0.10824783,37,30
race_BLACK_AFRICAN_AMERICAN,0.0037650722,0.11440991,38,29
drug_PredniSONE,0.00345119,0.062704556,39,38
lab_std_Platelet_Count,0.0032580027,0.055572443,40,41
drug_Gabapentin,0.0032013662,0.006171058,41,81
ldl_n_timepoints,0.003159196,0.02946756,42,49
race_WHITE___RUSSIAN,0.0029934838,0.051070444,43,43
drug_Acetaminophen,0.002901347,0.0805417,44,34
drug_CefTRIAXone,0.0026488637,0.039503783,45,48
drug_Acetaminophen_IV,0.0021728105,0.01469906,46,68
drug_Potassium_Chloride,0.0021428743,0.06265203,47,39
drug_Metoprolol_Tartrate,0.0021425036,0.14811529,48,26
insurance_Medicaid,0.0021341525,0.023143513,49,56
drug_Pantoprazole,0.0020941875,0.027937561,50,50
marital_DIVORCED,0.0020814526,0.009362225,51,74
drug_Magnesium_Sulfate,0.0020573847,0.016391158,52,65
drug_Lisinopril,0.00200051,0.0,53,87
lab_last_Lactate,0.0019639246,0.017670775,54,63
race_WHITE___OTHER_EUROPEAN,0.0019515561,0.007154087,55,76
drug_Insulin,0.0018244082,0.0163663,56,66
drug_HydrALAZINE,0.0017218781,0.044912145,57,47
drug_Ramelteon,0.0016059201,0.019807886,58,59
drug_Ondansetron,0.0015715982,0.062044088,59,40
drug_Vancomycin,0.0015562525,0.026964577,60,52
drug_Metoprolol_Succinate_XL,0.0015201417,0.15338181,61,25
drug_Furosemide,0.0014987737,0.005862932,62,82
drug_Senna,0.0014623652,0.08140243,63,33
drug_Heparin_Flush_(10_units/ml),0.0014006995,0.010732982,64,72
drug_Heparin,0.0013513134,0.021032196,65,58
lab_std_Lactate,0.0012818917,0.02132418,66,57
insurance_Private,0.0012668223,0.017821547,67,62
lab_std_Troponin_T,0.0010469817,0.01941515,68,60
drug_Omeprazole,0.0009977967,0.009696891,69,73
drug_LORazepam,0.0009845315,0.0051255897,70,83
drug_Tacrolimus,0.00092744647,0.01729225,71,64
drug_HYDROmorphone_(Dilaudid),0.0007614805,0.027367221,72,51
race_OTHER,0.0006369448,0.0124402335,73,70
marital_SINGLE,0.0006186394,0.0110398345,74,71
drug_Warfarin,0.0005600282,0.0,75,91
drug_Famotidine,0.0005062954,0.0,76,90
drug_Magnesium_Oxide,0.0004761413,0.007748841,77,75
drug_Polyethylene_Glycol,0.0004240216,0.0,78,95
drug_Levothyroxine_Sodium,0.00037084418,0.0041159973,79,84
drug_Calcium_Gluconate_sliding_scal,0.00036233393,0.0,80,94
drug_CefePIME,0.00025530445,0.0070044547,81,78
has_omega3,0.00022548283,0.0,82,93
drug_Lidocaine_5%_Patch,2.763714e-05,0.0070365,83,77
drug_Magnesium_Sulfate_Replacement_,0.0,0.0,84,92
drug_Bisacodyl,0.0,0.0065830834,85,80
race_WHITE,0.0,0.026025498,86,55
has_fibrate,0.0,0.0029097092,87,85
has_ezetimibe,0.0,0.019256294,88,61
drug_Albuterol_Inhaler,0.0,0.026184784,89,54
drug_amLODIPine,0.0,0.014362698,90,69
drug_Potassium_Chloride_Replacement,0.0,0.0025721386,91,86
marital_MARRIED,0.0,0.0,92,89
drug_Morphine_Sulfate,0.0,0.0067379703,93,79
drug_Neutra-Phos,0.0,0.0,94,88
drug_OxyCODONE_(Immediate_Release),0.0,0.016313054,95,67
drug_Potassium_Chloride_Replacement,0.0,0.0,96,96
